timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl,label,prb_ul_per_thp,delay_median_w5,thp_dl_cv_w5,thp_dl_range_w5
2026-08-15 15:31:04.388126,1.0,1,1,0.39,0.029,82.25,0.3998,0.036539999999999996,1065,884,5.0,24.192664909888755,79.31,0.026084322582785282,26.0
2025-12-06 17:37:53.353573,1.0,1,1,0.167,0.023,90.23,0.17201,0.0281,3646,2994,1.0,106.54803891288117,90.23,0.8547105904707676,141.91
2026-08-15 15:50:48.080037,1.0,1,1,1.265,0.004,98.43,1.27847,0.00696,2222,936,5.0,134.482739298457,88.81,0.053160269003843214,149.25
2026-08-15 15:31:51.379947,1.0,1,1,0.451,0.027,83.0,0.46102,0.033979999999999996,1208,809,5.0,23.80812172430484,83.0,0.039208040756584205,40.27999999999997
2025-12-06 18:28:20.353515,1.0,1,1,0.035,0.006,26.0,0.03631,0.00886,919,1931,1.0,217.9457993289166,198.25,0.31466575311437717,64.75
2025-12-07 01:46:50.353491,1.0,1,1,0.029,0.004,301.75,0.0303,0.00541,947,1229,1.0,227.17186189059854,301.75,0.8645016071772074,136.97
2026-08-15 11:11:30.126731,1.0,1,1,1.991,0.007,49.14,2.00318,0.00966,3361,918,5.0,95.03104606303872,70.68,1.031979542637151,2052.6699999999996
2025-12-06 10:01:16.153827,1.0,1,1,2.523,0.107,83.65,2.54377,0.12834,4963,1949,0.0,15.186223973926882,89.33,0.2435915704581578,1791.6499999999999
2025-12-06 16:02:51.353614,1.0,1,1,0.158,0.015,52.0,0.16259,0.01918,4178,2962,1.0,154.43169163546966,98.14,0.48000480758517244,112.28999999999999
2025-12-06 19:25:41.353483,1.0,1,1,0.037,0.006,63.33,0.038729999999999994,0.00808,1287,2185,1.0,270.4207586112923,79.0,0.7680297832999033,136.07999999999998
2026-08-15 09:30:35.991115,1.0,1,1,0.076,0.004,67.5,0.08569,0.00735,2996,1792,5.0,243.80949063816453,63.0,0.428741327672491,96.88
2025-12-06 10:03:40.153808,1.0,1,1,1.011,0.043,92.72,1.01954,0.05226,1897,4795,0.0,91.75277283289758,95.32,0.28553934150525345,1018.28
2026-08-15 12:22:42.299503,1.0,1,1,0.869,0.035,69.07,0.87924,0.04272,1961,880,5.0,20.599250454137398,102.28,0.06822435031646717,172.6199999999999
2025-12-06 23:01:15.353675,1.0,1,1,0.04,0.006,478.67,0.041909999999999996,0.00746,1530,1771,1.0,237.39943198399035,432.0,0.5981193836141814,106.99000000000001
2025-12-06 23:52:48.354286,1.0,1,1,0.042,0.008,45.5,0.04453,0.01142,1388,2572,1.0,225.2188944641949,171.89,0.443810959081,91.69999999999999
2025-12-07 04:22:08.353540,1.0,1,1,0.058,0.009,69.5,0.06079,0.01202,1968,2622,1.0,218.1364211200981,69.5,0.7609108410585019,169.27
2025-12-06 22:32:04.353562,1.0,1,1,0.087,0.01,234.25,0.08993999999999999,0.01257,3020,2455,1.0,195.3062692675999,373.6,0.6943459834167591,134.61
2025-12-06 17:36:11.353453,1.0,1,1,0.029,0.005,440.85,0.03039,0.0062699999999999995,992,1554,1.0,247.84685042314987,386.36,0.8056780821674847,116.95
2025-12-06 21:26:28.353552,1.0,1,1,0.039,0.006,474.14,0.04119,0.00838,1331,1913,1.0,228.28159567045398,288.33,0.8794163539522785,166.05
2025-12-07 01:04:34.353639,1.0,1,1,0.029,0.005,64.0,0.030379999999999997,0.00658,1089,2226,1.0,338.2978209273828,64.25,0.654143252678443,135.76
2026-08-15 15:05:59.239018,1.0,1,1,0.467,0.001,115.37,0.47654,0.0038,5495,1100,5.0,289.47360803326103,115.37,0.036981661863770686,40.44
2025-12-06 18:37:44.353551,1.0,1,1,0.162,0.023,1026.44,0.16723,0.027739999999999997,4447,3115,1.0,112.29271404856834,115.0,0.5338503692360616,142.85999999999999
2025-12-06 21:41:58.353567,1.0,1,1,0.052,0.008,91.5,0.05458,0.01042,1719,2500,1.0,239.92320154287896,91.5,0.7416768889445758,138.04000000000002
2025-12-06 18:08:55.353704,1.0,1,1,0.051,0.009,47.0,0.05371,0.01129,1225,2321,1.0,205.58014122407963,723.9,0.3072122945078616,54.330000000000005
2025-12-06 23:33:06.353543,1.0,1,1,0.131,0.014,120.12,0.13507,0.0176,3502,3033,1.0,172.32953566309453,51.0,0.7442690937119499,102.53
2025-12-06 21:01:48.353630,1.0,1,1,0.049,0.008,44.0,0.05074,0.01,1698,2181,1.0,218.0999781900022,75.0,0.7992481117831488,127.36
2025-12-06 19:43:15.353550,1.0,1,1,0.096,0.014,49.0,0.10002,0.01779,2918,2436,1.0,136.9308523366581,60.33,0.2736775568670571,64.84
2025-12-06 18:20:48.353747,1.0,1,1,0.173,0.018,338.65,0.17918,0.02247,4683,2581,1.0,114.8642583505003,129.0,0.7354882545113569,138.17000000000002
2026-08-15 14:51:25.366957,1.0,1,1,2.539,0.004,120.56,2.55508,0.00646,4280,983,5.0,152.1671591072509,122.35,0.11143902571119979,612.04
2026-08-15 12:42:57.240542,1.0,1,1,1.015,0.005,84.79,1.01376,0.00739,4188,894,5.0,120.97427321051784,85.53,0.06765249388732945,191.06999999999994
2025-12-06 16:23:42.353641,1.0,1,1,0.114,0.017,713.55,0.11862,0.02204,3352,2529,1.0,114.74591130916917,561.79,0.6212742043898779,95.17
2025-12-07 08:21:25.354037,1.0,1,1,0.154,0.017,83.33,0.15830000000000002,0.021,4116,3396,1.0,161.7142780136058,111.67,0.49745747805154616,115.37
2025-12-07 02:13:12.353596,1.0,1,1,0.027,0.004,494.75,0.02842,0.00554,970,1979,1.0,357.2201521263263,419.4,0.7460179435759556,116.94000000000001
2026-08-15 13:34:11.994644,1.0,1,1,0.724,0.001,243.16,0.73413,0.00322,5199,887,5.0,275.46575296094625,133.88,0.145931757877466,282.82000000000005
2025-12-06 21:02:45.353749,1.0,1,1,0.133,0.015,89.67,0.13771,0.019620000000000002,4046,3007,1.0,153.26196976238685,89.67,0.45429546962831807,87.93
2025-12-06 10:15:50.153795,1.0,1,1,0.917,0.044,123.23,0.92572,0.05385,1916,1099,0.0,20.40854186799365,97.53,0.30661519497647016,1358.8500000000001
2025-12-07 02:50:17.353504,1.0,1,1,0.051,0.007,81.0,0.05293,0.009439999999999999,1879,2054,1.0,217.5847227134828,63.0,0.5536068173472773,99.83999999999999
2025-12-06 13:42:11.353488,1.0,1,1,0.048,0.013,726.11,0.05037,0.01636,1748,2623,1.0,160.33006354950712,307.45,0.7026472281975772,117.94999999999999
2025-12-07 03:39:58.353727,1.0,1,1,0.169,0.016,547.13,0.17366,0.02026,4166,2265,1.0,111.79663811467728,368.81,0.40505860058989107,106.6
2025-12-06 23:58:05.353583,1.0,1,1,0.055,0.007,547.89,0.05751,0.00843,2023,1358,1.0,161.0913213414803,425.58,0.7718502103650163,125.94999999999999
2026-08-15 14:08:44.706752,1.0,1,1,0.011,0.01,119.6,0.011619999999999998,0.01117,444,2035,5.0,182.184406250277,125.5,1.3124029816295346,278.07
2025-12-06 19:41:46.353602,1.0,1,1,0.066,0.008,72.0,0.0687,0.01071,2224,1618,1.0,151.07374873260983,72.0,0.606470094905726,114.17
2026-08-15 15:25:28.379910,1.0,1,1,0.024,0.002,129.0,0.03866,0.0033,1368,1963,5.0,594.8483045914229,75.92,0.44112851377113504,66.77000000000001
2026-08-15 16:08:39.948753,1.0,1,1,0.274,0.003,166.11,0.2842,0.00552,8576,1241,5.0,224.8187998516667,166.11,1.143905385338144,3421.8500000000004
2025-12-07 06:51:19.354008,1.0,1,1,0.212,0.024,101.2,0.21849000000000002,0.02912,5780,2577,1.0,88.49587608187238,164.5,0.6813229891434975,184.92000000000002
2025-12-06 23:50:15.353461,1.0,1,1,0.068,0.008,38.0,0.07118000000000001,0.01094,2297,2145,1.0,196.06945191321282,46.5,0.6241478173111628,113.41
2026-08-15 12:23:55.299509,1.0,1,1,0.525,0.027,76.07,0.54702,0.03553,1396,923,5.0,25.978045989922716,81.36,0.02222176487858411,31.06000000000006
2025-12-07 09:00:06.353997,1.0,1,1,0.054,0.011,228.75,0.056479999999999995,0.01391,1491,2060,1.0,148.09488511179833,209.17,0.45792446963603717,82.52999999999999
2025-12-06 15:04:45.353586,1.0,1,1,0.114,0.017,95.0,0.11831,0.0207,3734,2398,1.0,115.84540503162295,116.0,0.7865248897343446,134.4
2025-12-06 21:11:34.353676,1.0,1,1,0.025,0.005,342.2,0.026539999999999998,0.0068200000000000005,845,1209,1.0,177.27270127966256,446.0,0.6565591733390979,127.09
2026-08-15 16:05:39.079930,1.0,1,1,0.745,0.001,195.43,0.75288,0.0028,5816,1022,5.0,364.9998696429037,129.4,0.44141042059748237,518.49
2025-12-07 08:00:13.356650,1.0,1,1,0.091,0.011,668.0,0.09409999999999999,0.01402,2863,2222,1.0,158.48786316063746,81.44,0.5915927229711656,113.13
2025-12-06 22:37:16.353602,1.0,1,1,0.144,0.016,311.71,0.14792,0.0207,3294,3370,1.0,162.8019245023225,311.71,0.4635099391721592,108.67000000000002
2026-08-15 14:33:41.392274,1.0,1,1,1.088,0.007,91.3,1.0973499999999998,0.01018,7383,958,5.0,94.10608112906866,91.3,0.034897209285177144,83.13000000000011
2025-12-07 03:34:39.353644,1.0,1,1,0.048,0.01,107.75,0.05002,0.01261,899,2646,1.0,209.83344886332685,107.75,0.5500956889931511,96.03999999999999
2025-12-07 06:45:55.354095,1.0,1,1,0.047,0.012,626.93,0.049460000000000004,0.01409,1364,1772,1.0,125.7629435228571,478.89,0.7106065833481606,134.79000000000002
2025-12-06 15:30:20.353795,1.0,1,1,0.038,0.008,318.61,0.04033,0.01048,1138,2672,1.0,254.96180773265195,144.8,0.7374342782191897,153.37
2025-12-06 13:48:06.353508,1.0,1,1,0.046,0.008,93.0,0.04827,0.01094,1631,2272,1.0,207.67822598919327,93.0,0.5531948842415265,103.14999999999998
2025-12-07 05:22:31.356149,1.0,1,1,0.089,0.012,190.41,0.09208,0.01504,2331,2876,1.0,191.2233915409979,297.17,0.6067182423467348,109.07
2026-08-15 13:47:51.890633,1.0,1,1,0.008,0.001,174.0,0.0183,0.00185,593,891,5.0,481.62136128575065,149.0,1.218605733983567,300.71000000000004
2025-12-06 16:39:35.353524,1.0,1,1,0.038,0.014,109.0,0.04058,0.01755,1320,3167,1.0,180.45583017345695,171.12,0.576765332722769,81.34
2026-08-15 13:02:35.959806,1.0,1,1,2.345,0.004,5216.62,2.33302,0.00646,47478,926,5.0,143.34363106135743,460.08,0.14550958709022246,845.56
2025-12-07 08:30:45.356070,1.0,1,1,0.162,0.018,288.89,0.16696,0.022949999999999998,4191,3293,1.0,143.48583252785042,207.47,0.6638006672800858,135.92000000000002
2025-12-06 14:54:04.353586,1.0,1,1,0.045,0.006,87.0,0.047229999999999994,0.00723,1487,1322,1.0,182.84921399042682,119.0,0.9023028038319937,151.44
2026-08-15 11:44:57.147019,1.0,1,1,1.27,0.001,102.17,1.29223,0.00458,2213,1180,5.0,257.64186514369754,96.71,0.07280780626365832,253.20000000000005
2025-12-06 23:25:41.353615,1.0,1,1,0.16,0.016,77.67,0.16384,0.0193,3507,2116,1.0,109.63730001879273,94.0,0.6317581955165282,164.48000000000002
2025-12-06 17:15:31.353466,1.0,1,1,0.055,0.006,283.83,0.05757,0.00838,1902,1473,1.0,175.77563534896953,141.0,0.31213049941319027,65.28999999999999
2025-12-07 03:24:21.353588,1.0,1,1,0.038,0.006,33.0,0.04026,0.00842,1311,2184,1.0,259.3823919973406,57.0,0.4756718692496119,90.42000000000002
