INFO:root:✔ XGBoost model loaded
Waiting for xApp connection on port 4400
xApp connected: 10.244.0.190:47694
INFO:root:✔ XChain listening on socket 4400
 * Serving Flask app 'xchain_model'
 * Debug mode: off
[12:09:46] WARNING: /workspace/src/learner.cc:790: 
Parameters: { "approx_kernel", "predictor" } are not used.

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=6.220ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=6.222ms

INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.244.0.191:5001
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.976ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.978ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.827ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.829ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.137ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.139ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.637ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.640ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.940ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.943ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.351ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.354ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.836ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.840ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.234ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.238ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.811ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.813ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.696ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.699ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.942ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.946ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.025ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.028ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.160ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.164ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.870ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.872ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.156ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.160ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.913ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.916ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.232ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.235ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.371ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.374ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.931ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.934ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.032ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.035ms

