[2026-03-24 12:32:18,579] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 12:32:19,010] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 12:32:19,010] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 12:32:19,013] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 12:32:19,013] [INFO] xApp KCL listening on port 4500
[2026-03-24 12:32:29,510] [INFO] Client connected: ('10.244.0.25', 33246) | NUM_UES=5 | T=8.0s
[2026-03-24 12:34:12,719] [INFO] [2026-03-24T12:34:12.291125] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:12,719] [INFO] [2026-03-24T12:34:12.291125] UE 3/5 | ran_ue_id=3 | PRB=11019.00 ThpDl=8081.99 ThpUl=5.48 RlcDelay=398.54 VolDL=8033 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:12,719] [INFO] [2026-03-24T12:34:12.291125] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:12,719] [INFO] [2026-03-24T12:34:12.291125] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:20,735] [INFO] [2026-03-24T12:34:20.292275] UE 1/5 | ran_ue_id=1 | PRB=247.00 ThpDl=5.25 ThpUl=8055.15 RlcDelay=585.69 VolDL=4 VolUL=7992 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:20,735] [INFO] [2026-03-24T12:34:20.292275] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:20,735] [INFO] [2026-03-24T12:34:20.292275] UE 3/5 | ran_ue_id=3 | PRB=10465.38 ThpDl=8072.40 ThpUl=5.53 RlcDelay=351.43 VolDL=8024 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:20,735] [INFO] [2026-03-24T12:34:20.292275] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:20,735] [INFO] [2026-03-24T12:34:20.292275] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:28,757] [INFO] [2026-03-24T12:34:28.292156] UE 1/5 | ran_ue_id=1 | PRB=243.62 ThpDl=5.32 ThpUl=8070.20 RlcDelay=467.50 VolDL=4 VolUL=8008 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:28,757] [INFO] [2026-03-24T12:34:28.292156] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:34:28,757] [INFO] [2026-03-24T12:34:28.292156] UE 3/5 | ran_ue_id=3 | PRB=11151.50 ThpDl=8089.27 ThpUl=5.48 RlcDelay=476.34 VolDL=8040 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:34:28,757] [INFO] [2026-03-24T12:34:28.292156] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
