[2026-03-24 14:01:17,983] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 14:01:18,424] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 14:01:18,424] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 14:01:18,427] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 14:01:18,427] [INFO] xApp KCL listening on port 4500
[2026-03-24 14:01:35,427] [INFO] Client connected: ('10.244.0.25', 60516) | NUM_UES=5 | T=32.0s
[2026-03-24 14:06:57,471] [INFO] [2026-03-24T14:06:56.983006] UE 2/5 | ran_ue_id=2 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:06:57,471] [INFO] [2026-03-24T14:06:56.983006] UE 3/5 | ran_ue_id=3 | PRB=983.69 ThpDl=757.04 ThpUl=0.51 RlcDelay=28.07 VolDL=752 VolUL=0 | Load: Medium | PRB alloc: 6%
[2026-03-24 14:06:57,471] [INFO] [2026-03-24T14:06:56.983006] UE 4/5 | ran_ue_id=4 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:06:57,471] [INFO] [2026-03-24T14:06:56.983006] UE 5/5 | ran_ue_id=5 | PRB=5.16 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:07:29,620] [INFO] [2026-03-24T14:07:28.983163] UE 1/5 | ran_ue_id=1 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:07:29,620] [INFO] [2026-03-24T14:07:28.983163] UE 2/5 | ran_ue_id=2 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:07:29,620] [INFO] [2026-03-24T14:07:28.983163] UE 3/5 | ran_ue_id=3 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:07:29,620] [INFO] [2026-03-24T14:07:28.983163] UE 4/5 | ran_ue_id=4 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:07:29,620] [INFO] [2026-03-24T14:07:28.983163] UE 5/5 | ran_ue_id=5 | PRB=5.48 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:08:01,781] [INFO] [2026-03-24T14:08:00.983050] UE 1/5 | ran_ue_id=1 | PRB=5.31 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:08:01,781] [INFO] [2026-03-24T14:08:00.983050] UE 2/5 | ran_ue_id=2 | PRB=5.31 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:08:01,781] [INFO] [2026-03-24T14:08:00.983050] UE 3/5 | ran_ue_id=3 | PRB=5.47 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:08:01,781] [INFO] [2026-03-24T14:08:00.983050] UE 4/5 | ran_ue_id=4 | PRB=5.16 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:08:01,781] [INFO] [2026-03-24T14:08:00.983050] UE 5/5 | ran_ue_id=5 | PRB=5.16 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 14:08:33,971] [INFO] [2026-03-24T14:08:32.983049] UE 1/5 | ran_ue_id=1 | PRB=8769.66 ThpDl=4420.84 ThpUl=3.82 RlcDelay=208.17 VolDL=4393 VolUL=3 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:08:33,971] [INFO] [2026-03-24T14:08:32.983049] UE 2/5 | ran_ue_id=2 | PRB=5.16 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:08:33,971] [INFO] [2026-03-24T14:08:32.983049] UE 3/5 | ran_ue_id=3 | PRB=163.56 ThpDl=3.70 ThpUl=4410.56 RlcDelay=0.00 VolDL=3 VolUL=4376 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:08:33,971] [INFO] [2026-03-24T14:08:32.983049] UE 4/5 | ran_ue_id=4 | PRB=5.31 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:08:33,972] [INFO] [2026-03-24T14:08:32.983049] UE 5/5 | ran_ue_id=5 | PRB=5.16 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:09:06,152] [INFO] [2026-03-24T14:09:05.983004] UE 1/5 | ran_ue_id=1 | PRB=10549.08 ThpDl=8082.22 ThpUl=5.49 RlcDelay=305.82 VolDL=8033 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:09:06,152] [INFO] [2026-03-24T14:09:05.983004] UE 2/5 | ran_ue_id=2 | PRB=4.79 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:09:06,152] [INFO] [2026-03-24T14:09:05.983004] UE 3/5 | ran_ue_id=3 | PRB=256.29 ThpDl=5.25 ThpUl=8064.20 RlcDelay=0.00 VolDL=4 VolUL=8002 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:09:06,152] [INFO] [2026-03-24T14:09:05.983004] UE 4/5 | ran_ue_id=4 | PRB=4.79 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:09:06,152] [INFO] [2026-03-24T14:09:05.983004] UE 5/5 | ran_ue_id=5 | PRB=4.79 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:09:38,346] [INFO] [2026-03-24T14:09:37.982901] UE 1/5 | ran_ue_id=1 | PRB=10522.27 ThpDl=8075.52 ThpUl=5.49 RlcDelay=308.05 VolDL=8027 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:09:38,346] [INFO] [2026-03-24T14:09:37.982901] UE 2/5 | ran_ue_id=2 | PRB=4.81 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:09:38,346] [INFO] [2026-03-24T14:09:37.982901] UE 3/5 | ran_ue_id=3 | PRB=255.81 ThpDl=5.25 ThpUl=8057.37 RlcDelay=0.00 VolDL=4 VolUL=7995 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:09:38,346] [INFO] [2026-03-24T14:09:37.982901] UE 4/5 | ran_ue_id=4 | PRB=4.81 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:09:38,347] [INFO] [2026-03-24T14:09:37.982901] UE 5/5 | ran_ue_id=5 | PRB=4.81 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:10:10,570] [INFO] [2026-03-24T14:10:09.982868] UE 1/5 | ran_ue_id=1 | PRB=10907.94 ThpDl=8078.09 ThpUl=5.50 RlcDelay=376.04 VolDL=8029 VolUL=4 | Load: Heavy  | PRB alloc: 7%
