[2026-03-23 12:46:23,304] [INFO] [2026-03-23T12:46:22.374769] UE 2/5 | ran_ue_id=2 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 20%
[2026-03-23 12:46:23,304] [INFO] [2026-03-23T12:46:22.374769] UE 3/5 | ran_ue_id=3 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 20%
[2026-03-23 12:46:23,305] [INFO] [2026-03-23T12:46:22.374769] UE 4/5 | ran_ue_id=4 | PRB=39.09 ThpDl=0.89 ThpUl=25.90 RlcDelay=0.00 VolDL=1 VolUL=25 | Load: Heavy  | PRB alloc: 20%
[2026-03-23 12:46:23,305] [INFO] [2026-03-23T12:46:22.374769] UE 5/5 | ran_ue_id=5 | PRB=5.16 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 20%
[2026-03-23 12:46:55,517] [INFO] [2026-03-23T12:46:55.374282] UE 1/5 | ran_ue_id=1 | PRB=5.31 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:46:55,517] [INFO] [2026-03-23T12:46:55.374282] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:46:55,517] [INFO] [2026-03-23T12:46:55.374282] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:46:55,518] [INFO] [2026-03-23T12:46:55.374282] UE 4/5 | ran_ue_id=4 | PRB=26.12 ThpDl=0.35 ThpUl=797.30 RlcDelay=0.00 VolDL=0 VolUL=791 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:46:55,518] [INFO] [2026-03-23T12:46:55.374282] UE 5/5 | ran_ue_id=5 | PRB=5987.06 ThpDl=851.58 ThpUl=2.15 RlcDelay=95.35 VolDL=845 VolUL=2 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:47:27,727] [INFO] [2026-03-23T12:47:27.374152] UE 1/5 | ran_ue_id=1 | PRB=5.33 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:47:27,727] [INFO] [2026-03-23T12:47:27.374152] UE 2/5 | ran_ue_id=2 | PRB=5.67 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:47:27,727] [INFO] [2026-03-23T12:47:27.374152] UE 3/5 | ran_ue_id=3 | PRB=5.67 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:47:27,727] [INFO] [2026-03-23T12:47:27.374152] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
